#iteration 300
#x(nm)   y(nm)
 0.000000000    -0.001638677
 1.666666667     0.000000100
 3.333333333     0.000000100
 5.000000000     0.000000100
 6.666666667     0.000000100
 8.333333333     0.000000100
10.000000000     0.000000100
11.666666667     0.000000100
13.333333333     0.000000100
15.000000000     0.000000100
16.666666667     0.000000100
18.333333333     0.000000100
20.000000000     0.000000100
21.666666667     0.000000100
23.333333333     0.000000100
25.000000000     0.000000100
26.666666667     0.000000100
28.333333333     0.000000100
30.000000000     0.000000100
31.666666667     0.000000100
33.333333333     0.000000100
35.000000000     0.000000100
36.666666667     0.000000100
38.333333333     0.000000100
40.000000000     0.000000100
41.666666667     0.000000100
43.333333333     0.000000100
45.000000000     0.000000100
46.666666667     0.000000100
48.333333333     0.000000100
50.000000000     0.000000100
51.666666667     0.000000100
53.333333333     0.000000100
55.000000000     0.000000100
56.666666667     0.000000100
58.333333333     0.000000100
60.000000000     0.000000100
61.666666667     0.000000100
63.333333333     0.000000100
65.000000000     0.000000100
66.666666667     0.000000100
68.333333333     0.000000100
70.000000000     0.000000100
71.666666667     0.000000100
73.333333333     0.000000100
75.000000000     0.000000100
76.666666667     0.000000100
78.333333333     0.000000100
80.000000000     0.000000100
81.666666667     0.000000100
83.333333333     0.000000100
85.000000000     0.000000100
86.666666667     0.000000100
88.333333333     0.000000100
90.000000000     0.000000100
91.666666667     0.000000100
93.333333333     0.000000100
95.000000000     0.000000100
96.666666667     0.000000100
98.333333333     0.000000100
100.000000000     0.000000100
101.666666667     0.000000100
103.333333333     0.000000100
105.000000000     0.000000100
106.666666667     0.000000100
108.333333333     0.000000100
110.000000000     0.000000100
111.666666667     0.000000100
113.333333333     0.000000100
115.000000000     0.000000100
116.666666667     0.000000100
118.333333333     0.000000100
120.000000000     0.000000100
121.666666667     0.000000100
123.333333333     0.000000100
125.000000000     0.000000100
126.666666667     0.000000100
128.333333333     0.000000100
130.000000000     0.000000100
131.666666667     0.000000100
133.333333333     0.000000100
135.000000000     0.000000100
136.666666667     0.000000100
138.333333333     0.000000100
140.000000000     0.000000100
141.666666667     0.000000100
143.333333333     0.000000100
145.000000000     0.000000100
146.666666667     0.000000100
148.333333333     0.000000100
150.000000000     0.000000100
151.666666667     0.000000100
153.333333333     0.000000100
155.000000000     0.000000100
156.666666667     0.000000100
158.333333333     0.000000100
160.000000000     0.000000100
161.666666667     0.000000100
163.333333333     0.000000100
165.000000000     0.000000100
166.666666667     0.000000100
168.333333333     0.000000100
170.000000000     0.000000100
171.666666667     0.000000100
173.333333333     0.000000100
175.000000000     0.000000100
176.666666667     0.000000100
178.333333333     0.000000100
180.000000000     0.000000100
181.666666667     0.000000100
183.333333333     0.000000100
185.000000000     0.000000100
186.666666667     0.000000100
188.333333333     0.000000100
190.000000000     0.000000100
191.666666667     0.000000100
193.333333333     0.000000100
195.000000000     0.000000100
196.666666667     0.000000100
198.333333333     0.000000100
200.000000000     0.000000100
201.666666667     0.000000100
203.333333333     0.000000100
205.000000000     0.000000100
206.666666667     0.000000100
208.333333333     0.000000100
210.000000000     0.000000100
211.666666667     0.000000100
213.333333333     0.000000100
215.000000000     0.000000100
216.666666667     0.000000100
218.333333333     0.000000100
220.000000000     0.000000100
221.666666667     0.000000100
223.333333333     0.000000100
225.000000000     0.000000100
226.666666667     0.000000100
228.333333333     0.000000100
230.000000000     0.000000100
231.666666667     0.000000100
233.333333333     0.000000100
235.000000000     0.000000100
236.666666667     0.000000100
238.333333333     0.000000100
240.000000000     0.000000100
241.666666667     0.000000100
243.333333333     0.000000100
245.000000000     0.000000100
246.666666667     0.000000100
248.333333333     0.000000100
250.000000000     0.000000100
251.666666667     0.000000100
253.333333333     0.000000100
255.000000000     0.000000100
256.666666667     0.000000100
258.333333333     0.000000100
260.000000000     0.000000100
261.666666667     0.000000100
263.333333333     0.000000100
265.000000000     0.000000100
266.666666667     0.000000100
268.333333333     0.000000100
270.000000000     0.000000100
271.666666667     0.000000100
273.333333333     0.000000100
275.000000000     0.000000100
276.666666667     0.000000100
278.333333333     0.000000100
280.000000000     0.000000100
281.666666667     0.000000100
283.333333333     0.000000100
285.000000000     0.000000100
286.666666667     0.000000100
288.333333333     0.000000100
290.000000000     0.000000100
291.666666667     0.000000100
293.333333333     0.000000100
295.000000000     0.000000100
296.666666667     0.000000100
298.333333333     0.000000100
300.000000000     0.000000100
301.666666667     0.000000100
303.333333333     0.000000100
305.000000000     0.000000100
306.666666667     0.000000100
308.333333333     0.000000100
310.000000000     0.000000100
311.666666667     0.000000100
313.333333333     0.000000100
315.000000000     0.000000100
316.666666667     0.000000100
318.333333333     0.000000100
320.000000000     0.000000100
321.666666667     0.000000100
323.333333333     0.000000100
325.000000000     0.000000100
326.666666667     0.000000100
328.333333333     0.000000100
330.000000000     0.000000100
331.666666667     0.000000100
333.333333333     0.000000100
335.000000000     0.000000100
336.666666667     0.000000100
338.333333333     0.000000100
340.000000000     0.000000100
341.666666667     0.000000100
343.333333333     0.000000100
